jeremić,a	jer,emi,ća
mogul,u	mog,ulu
medij,a	med,ija
dokaz,i	dok,azi
njegov,im	nj,egov,im
krivični,m	kr,ivi,č,nim
zatvor,a	zat,v,ora
porez,a	p,ore,za
medij,e	med,ije
novinar,i	nov,inari
drugi,h	drug,ih
sud,u	s,udu
mart,a	m,arta
položaj,a	pol,ož,aja
saučesnik,a	sau,č,es,nika
kreditor,ima	k,red,itor,ima
medij,ima	med,ij,ima
metod,e	met,ode
zakon,a	zak,ona
institut,a	in,stit,uta
zaposlen,i	z,apos,len,i
naziv,om	naz,iv,om
njen,u	nj,enu
potpun,u	pot,p,unu
premijer,a	prem,ij,era
aktivnost,i	aktiv,nosti
kriminal,a	k,riminal,a
zemlja,ma	zem,lj,ama
faktor,a	f,akt,ora
sposobnost,i	s,pos,ob,nosti
svedok,a	s,ved,oka
milion,a	mil,iona
račun,a	rač,una
sadržaj,em	s,adrž,ajem
svoj,ih	s,voj,ih
reč,ima	re,č,ima
internešnal,a	inter,ne,šn,ala
međunarodni,m	me,đ,unar,od,nim
sud,ovima	sud,ovima
argument,i	argument,i
vezan,e	vez,ane
govor,a	gov,ora
živ,a	ž,iva
zdrav,a	z,dr,ava
svoj,oj	s,vo,joj
novčan,u	nov,č,anu
sopstven,e	s,op,st,vene
domaći,m	dom,ać,im
član,a	č,l,ana
tročlan,og	tro,č,lan,og
potpredsednik,a	pot,pred,sed,nika
političar,a	pol,iti,č,ara
položaj,u	pol,ož,aju
pun,om	pun,om
kapacitet,u	kap,ac,itet,u
obaveza,ma	ob,avez,ama
sdp,-a	sd,p,-a
njegov,og	nj,egov,og
predsednik,om	pred,sed,nikom
inostran,ih	ino,str,ani,h
vuk,a	v,uka
predsednik,a	pred,sed,nika
beograd,u	be,ograd,u
komšić,a	kom,š,ić,a
član,ova	č,lan,ova
njegov,oj	nj,egov,oj
jeremić,u	jer,emi,ću
kandidat,a	k,andid,ata
političar,i	pol,iti,č,ari
stav,a	st,ava
novinar,ima	nov,inar,ima
jeremić,em	jer,emi,ć,em
poslednji,m	pos,led,nj,im
opšti,m	op,š,tim
izbor,ima	iz,bor,ima
rezultat,i	rez,ult,ati
izbor,a	iz,b,ora
član,ovi	č,lan,ovi
lagumdžijin,a	l,ag,umd,ž,ij,ina
potpun,a	pot,p,una
stranački,h	str,ana,čkih
krug,ova	kr,ug,ova
politički,h	pol,iti,čkih
neodgovornost,i	ne,od,gov,orn,osti
fakultet,a	f,ak,ult,eta
istaknut,i	ist,ak,nut,i
princip,e	pr,incipe
njen,o	nj,eno
čin,a	čina
spoljni,h	sp,ol,j,nih
pogled,u	p,og,led,u
drugi,m	drug,im
član,ovima	č,lan,ovima
mesec,i	mes,eci
oktobarski,h	ok,t,ob,ars,kih
birač,e	b,ira,če
obzir,om	ob,zi,rom
njegov,e	nj,eg,ove
stav,ove	stav,ove
korak,a	kor,aka
lider,a	lider,a
nov,og	nov,og
put,em	put,em
izazov,a	iz,az,ova
državni,h	drž,avn,ih
razvoj,a	raz,voja
parlament,u	par,lament,u
vrh,u	vr,hu
program,a	program,a
zastoj,a	z,asto,ja
mnogi,m	mn,og,im
debata,ma	de,bat,ama
nov,im	nov,im
problem,ima	problem,ima
cilj,evi	cil,je,vi
njegov,a	nj,eg,ova
parlament,om	par,lament,om
reforma,ma	reform,ama
nov,i	nov,i
put,a	put,a
glas,ova	glas,ova
glas,a	gl,asa
on,o	ono
vrednost,i	v,red,nosti
određen,e	od,re,đ,ene
napor,e	nap,ore
napor,a	nap,ora
svoj,e	s,vo,je
moldavski,h	m,old,av,skih
svoj,im	s,voj,im
upravnik,a	up,r,avn,ika
kalarasi,ja	k,alar,as,ija
rad,a	rada
velik,i	vel,iki
život,u	ž,ivot,u
uslov,e	us,love
balkan,a	b,alk,ana
intervju,u	interv,ju,u
region,u	region,u
nezavisnost,i	nez,avis,nosti
rizik,e	riz,ike
svet,u	sv,etu
čin,om	čin,om
period,om	period,om
stvar,i	st,vari
međunarodni,h	me,đ,unar,od,nih
mek,oj	mek,oj
nestabilnost,i	nest,abil,nosti
sam,om	sam,om
nov,e	n,ove
njen,e	nj,ene
odnos,e	od,nose
on,a	ona
naš,ih	na,š,ih
interes,a	inter,esa
beograd,om	be,ograd,om
sused,a	s,used,a
samit,u	sam,itu
bukurešt,u	b,uk,ure,štu
sin,a	s,ina
mirovnjak,e	mi,ro,vn,j,ake
svet,a	sv,eta
region,a	region,a
vid,u	vid,u
stabilnost,i	st,abil,nosti
nov,ih	nov,ih
ime,na	im,ena
princip,u	princip,u
naš,u	na,šu
zajednički,m	z,aj,ed,nič,kim
interes,om	interes,om
iskren,a	isk,rena
odlučnost,i	od,lu,čnosti
cilj,a	cil,ja
duh,u	du,hu
koji,ma	ko,j,ima
odustajanje,m	od,ust,aj,anjem
naš,eg	na,š,eg
identitet,a	ident,it,eta
irak,u	ir,aku
poduhvat,a	pod,uh,v,ata
vojnik,a	voj,nika
vojni,m	voj,nim
misija,ma	mis,ij,ama
avganistan,u	avg,an,istan,u
liban,u	lib,anu
mirovni,m	mi,ro,vn,im
operacija,ma	oper,acij,ama
aranžman,a	aran,ž,mana
potpunost,i	pot,pun,osti
odgovornost,i	od,gov,orn,osti
štab,u	š,tab,u
harmonizovan,e	harmon,iz,ov,ane
period,u	period,u
put,u	put,u
tempo,m	temp,om
preduslov,e	pred,us,love
pregovor,a	preg,ov,ora
režim,a	re,ž,ima
ostvarljiv,i	ost,var,lj,ivi
sopstven,ih	s,op,st,ven,ih
slabost,i	sl,ab,osti
sledeći,h	s,le,de,ć,ih
pregovor,ima	preg,ovor,ima
kraj,a	kra,ja
sporazum,a	spor,az,uma
dijalog,a	d,ij,al,oga
slučaj,u	sl,uč,aju
vaš,e	va,še
značaj,a	zna,č,aja
region,om	region,om
nov,a	nova
sukob,ima	s,uk,ob,ima
posvećen,i	pos,ve,ć,eni
isti,m	ist,im
demokratski,m	dem,ok,rats,kim
vrednost,ima	v,red,nost,ima
amandman,a	am,and,mana
cilj,em	cil,jem
standard,ima	standard,ima
maj,a	m,aja
amandman,e	am,and,mane
prevrat,a	prev,rata
okvir,u	ok,vir,u
sud,ovi	sud,ovi
predstavnik,a	pred,st,avn,ika
