jeremić,a	jeremi�,�,�,a
mogul,u	mogu,lu
medij,a	medij,a
dokaz,i	dokaz,i
njegov,im	njegovi,m
krivični,m	krivični,m
zatvor,a	zatvor,a
porez,a	porez,a
medij,e	medij,e
novinar,i	novinar,i
drugi,h	drugi,h
sud,u	sud,u
mart,a	mart,a
položaj,a	položaj,a
saučesnik,a	sa,učesnik,a
kreditor,ima	kredit,or,ima
medij,ima	medijim,a
metod,e	metod,e
zakon,a	zakon,a
institut,a	institut,a
zaposlen,i	zaposleni
naziv,om	nazivo,m
njen,u	njen,u
potpun,u	potpun,u
premijer,a	premijer,a
aktivnost,i	aktivnost,i
kriminal,a	kriminal,a
zemlja,ma	zemljam,a
faktor,a	faktor,a
sposobnost,i	sposobnost,i
svedok,a	svedok,a
milion,a	milion,a
račun,a	računa
sadržaj,em	sadržaje,m
svoj,ih	svoji,h
reč,ima	rečim,a
internešnal,a	interne,š,nala
međunarodni,m	međunarodni,m
sud,ovima	sudovim,a
argument,i	argument,i
vezan,e	vezan,e
govor,a	govor,a
živ,a	živ,a
zdrav,a	zdrav,a
svoj,oj	svojo,j
novčan,u	novčan,u
sopstven,e	sopstven,e
domaći,m	domaći,m
član,a	člana
tročlan,og	tr,oč,lan,o,g
potpredsednik,a	potpredsednik,a
političar,a	političar,a
položaj,u	položaj,u
pun,om	puno,m
kapacitet,u	kapacitet,u
obaveza,ma	obavezam,a
sdp,-a	sd,p,-a
njegov,og	njegovo,g
predsednik,om	predsedniko,m
inostran,ih	inostrani,h
vuk,a	vuk,a
predsednik,a	predsednik,a
beograd,u	beograd,u
komšić,a	ko,m,š,ić,a
član,ova	članov,a
njegov,oj	njegovo,j
jeremić,u	jeremi�,�,�,u
kandidat,a	kandidat,a
političar,i	političar,i
stav,a	stav,a
novinar,ima	novinarim,a
jeremić,em	jeremi�,�,�,em
poslednji,m	poslednji,m
opšti,m	opšti,m
izbor,ima	izborim,a
rezultat,i	rezultat,i
izbor,a	izbor,a
član,ovi	članov,i
lagumdžijin,a	la,gum,d�,�,�,ij,in,a
potpun,a	potpun,a
stranački,h	stranačk,i,h
krug,ova	krugov,a
politički,h	politički,h
neodgovornost,i	ne,odgovornost,i
fakultet,a	fakultet,a
istaknut,i	istaknuti
princip,e	princip,e
njen,o	njeno
čin,a	čin,a
spoljni,h	spoljni,h
pogled,u	pogled,u
drugi,m	drugim
član,ovima	članovim,a
mesec,i	mesec,i
oktobarski,h	oktoba,rs,ki,h
birač,e	birač,e
obzir,om	obziro,m
njegov,e	njegov,e
stav,ove	stavov,e
korak,a	korak,a
lider,a	lider,a
nov,og	novo,g
put,em	pute,m
izazov,a	izazov,a
državni,h	državni,h
razvoj,a	razvoj,a
parlament,u	parlament,u
vrh,u	vrh,u
program,a	program,a
zastoj,a	zastoj,a
mnogi,m	mnogim
debata,ma	debat,am,a
nov,im	novi,m
problem,ima	problemim,a
cilj,evi	ciljev,i
njegov,a	njegov,a
parlament,om	parlament,o,m
reforma,ma	reformam,a
nov,i	novi
put,a	put,a
glas,ova	glasov,a
glas,a	glasa
on,o	ono
vrednost,i	vrednost,i
određen,e	određen,e
napor,e	napor,e
napor,a	napor,a
svoj,e	svoj,e
moldavski,h	mol,da,v,ski,h
svoj,im	svoji,m
upravnik,a	upravnik,a
kalarasi,ja	ka,la,ras,ij,a
rad,a	rada
velik,i	veliki
život,u	život,u
uslov,e	uslov,e
balkan,a	balkan,a
intervju,u	intervju,u
region,u	region,u
nezavisnost,i	nezavisnost,i
rizik,e	rizik,e
svet,u	svet,u
čin,om	čin,o,m
period,om	periodo,m
stvar,i	stvar,i
međunarodni,h	međunarodni,h
mek,oj	meko,j
nestabilnost,i	nestabilnost,i
sam,om	samo,m
nov,e	nov,e
njen,e	njen,e
odnos,e	odnos,e
on,a	ona
naš,ih	naši,h
interes,a	interes,a
beograd,om	beogrado,m
sused,a	sused,a
samit,u	samit,u
bukurešt,u	bu,kur,e,št,u
sin,a	sin,a
mirovnjak,e	mirovn,jak,e
svet,a	svet,a
region,a	region,a
vid,u	vid,u
stabilnost,i	stabilnost,i
nov,ih	novi,h
ime,na	imen,a
princip,u	princip,u
naš,u	naš,u
zajednički,m	zajednički,m
interes,om	interes,o,m
iskren,a	iskren,a
odlučnost,i	odlučn,os,ti
cilj,a	cilj,a
duh,u	duh,u
koji,ma	kojim,a
odustajanje,m	odustajanj,em
naš,eg	naše,g
identitet,a	identitet,a
irak,u	irak,u
poduhvat,a	poduhvat,a
vojnik,a	vojnik,a
vojni,m	vojni,m
misija,ma	misij,am,a
avganistan,u	avganistan,u
liban,u	li,ban,u
mirovni,m	mirovn,im
operacija,ma	operacijam,a
aranžman,a	aranžman,a
potpunost,i	potpunost,i
odgovornost,i	odgovornost,i
štab,u	štab,u
harmonizovan,e	har,mo,nizov,an,e
period,u	period,u
put,u	put,u
tempo,m	tempo,m
preduslov,e	preduslov,e
pregovor,a	pregovor,a
režim,a	režim,a
ostvarljiv,i	ostvar,l,ji,vi
sopstven,ih	sopstveni,h
slabost,i	slabost,i
sledeći,h	sledeći,h
pregovor,ima	pregovorim,a
kraj,a	kraj,a
sporazum,a	sporazum,a
dijalog,a	dijalog,a
slučaj,u	slučaj,u
vaš,e	vaše
značaj,a	značaja
region,om	region,o,m
nov,a	nova
sukob,ima	sukobim,a
posvećen,i	posvećen,i
isti,m	isti,m
demokratski,m	demokratski,m
vrednost,ima	vrednostim,a
amandman,a	amandman,a
cilj,em	cilje,m
standard,ima	standardim,a
maj,a	maj,a
amandman,e	amandman,e
prevrat,a	pre,vrat,a
okvir,u	okvir,u
sud,ovi	sudov,i
predstavnik,a	predstavnik,a
načelnik,a	načelnik,a
odbor,u	odbor,u
pol,ova	polov,a
pun,u	pun,u
ustav,a	ustav,a
jednak,a	jednak,a
vlast,i	vlast,i
suverenitet,a	suverenitet,a
princip,a	princip,a
bezbednost,i	bezbednost,i
rat,om	rato,m
stanje,m	stanje,m
opasnost,i	opasnost,i
niko,me	nikom,e
zakon,i	zakoni
zakon,ima	zakonim,a
usvojen,im	usvojeni,m
slučaj,evima	slučajevim,a
suprotnost,i	suprotnost,i
yok,-a	y,ok,-a
sud,ova	sudov,a
vojni,h	vojni,h
