mogul,u	mogu,lu
medij,a	medija
dokaz,i	dokazi
njegov,im	njegovim
krivični,m	krivični,m
zatvor,a	zatvora
porez,a	poreza
medij,e	medije
novinar,i	novinari
drugi,h	drugih
sud,u	sudu
mart,a	marta
položaj,a	položaja
saučesnik,a	sa,učesnika
kreditor,ima	kredit,orima
medij,ima	medijima
metod,e	metode
zakon,a	zakona
institut,a	instituta
zaposlen,i	zaposleni
naziv,om	nazivom
njen,u	njenu
potpun,u	potpun,u
premijer,a	premijera
aktivnost,i	aktivnosti
kriminal,a	kriminala
zemlja,ma	zemljama
faktor,a	faktora
sposobnost,i	sposobnosti
svedok,a	svedok,a
milion,a	miliona
račun,a	računa
sadržaj,em	sadržajem
svoj,ih	svojih
reč,ima	rečima
Internešnal,a	Interne,šn,ala
međunarodni,m	međunarodnim
sud,ovima	sudovi,ma
argument,i	argument,i
vezan,e	vezane
govor,a	govora
živ,a	živa
zdrav,a	zdrav,a
svoj,oj	svojoj
novčan,u	novčan,u
sopstven,e	sopstvene
domaći,m	domaći,m
član,a	člana
tročlan,og	tro,člano,g
potpredsednik,a	potpredsednik,a
političar,a	političara
položaj,u	položaju
pun,om	punom
kapacitet,u	kapacitet,u
obaveza,ma	obaveza,ma
SDP,-a	S,D,P,-,a
njegov,og	njegovog
predsednik,om	predsednikom
inostran,ih	inostranih
Vuk,a	Vuk,a
Jeremić,a	Jer,emi,ća
predsednik,a	predsednika
Beograd,u	Beogradu
Komšić,a	Kom,šić,a
član,ova	članova
njegov,oj	njegovoj
Jeremić,u	Jer,emi,ću
kandidat,a	kandidata
političar,i	političari
stav,a	stava
novinar,ima	novinari,ma
Jeremić,em	Jer,emi,ćem
poslednji,m	poslednji,m
opšti,m	opšti,m
izbor,ima	izborima
rezultat,i	rezultati
izbor,a	izbora
član,ovi	članovi
Lagumdžijin,a	L,agu,m,dži,jina
potpun,a	potpun,a
stranački,h	strana,čkih
krug,ova	krug,ova
politički,h	političkih
neodgovornost,i	neo,dgovornost,i
fakultet,a	fakulteta
istaknut,i	istaknuti
princip,e	princip,e
njen,o	njeno
čin,a	čina
spoljni,h	spoljnih
pogled,u	pogledu
drugi,m	drugim
član,ovima	članovima
mesec,i	meseci
oktobarski,h	oktobar,skih
birač,e	birač,e
obzir,om	obzirom
njegov,e	njegove
stav,ove	stavove
korak,a	koraka
lider,a	lidera
nov,og	novog
put,em	putem
izazov,a	izazov,a
državni,h	državnih
razvoj,a	razvoja
parlament,u	parlament,u
vrh,u	vrhu
program,a	programa
zastoj,a	zasto,ja
mnogi,m	mnogim
debata,ma	deb,atam,a
nov,im	novim
problem,ima	problemima
cilj,evi	ciljevi
njegov,a	njegova
parlament,om	parlament,om
reforma,ma	reform,ama
nov,i	novi
put,a	puta
glas,ova	glasova
glas,a	glasa
on,o	ono
vrednost,i	vrednosti
određen,e	određene
napor,e	napor,e
napor,a	napor,a
svoj,e	svoje
moldavski,h	mol,dav,skih
svoj,im	svojim
upravnik,a	upravnik,a
Kalarasi,ja	Kal,ara,sija
rad,a	rada
velik,i	veliki
život,u	životu
uslov,e	uslove
Balkan,a	Balkana
intervju,u	intervjuu
region,u	regionu
nezavisnost,i	nezavisnosti
rizik,e	rizik,e
svet,u	svetu
čin,om	činom
period,om	period,om
stvar,i	stvari
međunarodni,h	međunarodnih
mek,oj	mek,oj
nestabilnost,i	nestabilnost,i
sam,om	samom
nov,e	nove
njen,e	njene
odnos,e	odnose
on,a	ona
naš,ih	naših
interes,a	interesa
Beograd,om	Beograd,om
sused,a	sused,a
samit,u	sami,tu
Bukurešt,u	B,uku,reš,tu
sin,a	sina
mirovnjak,e	mirov,njak,e
svet,a	sveta
region,a	regiona
vid,u	vidu
stabilnost,i	stabilnosti
nov,ih	novih
ime,na	imena
princip,u	principu
naš,u	našu
zajednički,m	zajedničkim
interes,om	intereso,m
iskren,a	iskren,a
odlučnost,i	odluč,nosti
cilj,a	cilja
duh,u	duh,u
koji,ma	kojima
