jeremić,a	jere,mić,a
mogul,u	mogu,l,u
medij,a	medija
dokaz,i	dokazi
njegov,im	njegovim
krivični,m	krivični,m
zatvor,a	zatvora
porez,a	poreza
medij,e	medije
novinar,i	novinari
drugi,h	drugih
sud,u	sudu
mart,a	marta
položaj,a	položaja
saučesnik,a	s,auč,esnika
kreditor,ima	kredit,orima
medij,ima	medijima
metod,e	metode
zakon,a	zakona
institut,a	instituta
zaposlen,i	zaposleni
naziv,om	nazivom
njen,u	njenu
potpun,u	potpun,u
premijer,a	premijera
aktivnost,i	aktivnosti
kriminal,a	kriminala
zemlja,ma	zemljama
faktor,a	faktora
sposobnost,i	sposobnosti
svedok,a	svedok,a
milion,a	miliona
račun,a	računa
sadržaj,em	sadržajem
svoj,ih	svojih
reč,ima	rečima
internešnal,a	interne,å¡,nala
međunarodni,m	međunarodnim
sud,ovima	sudovi,m,a
argument,i	argument,i
vezan,e	vezane
govor,a	govora
živ,a	živa
zdrav,a	zdrav,a
svoj,oj	svojoj
novčan,u	novčan,u
sopstven,e	sopstvene
domaći,m	domaći,m
član,a	člana
tročlan,og	tro,člano,g
potpredsednik,a	potpredsednik,a
političar,a	političara
položaj,u	položaju
pun,om	punom
kapacitet,u	kapacitet,u
obaveza,ma	obaveza,m,a
sdp,-a	0,,,1,,,2,sd,p,-,a
njegov,og	njegovog
predsednik,om	predsednikom
inostran,ih	inostranih
vuk,a	vuka
predsednik,a	predsednika
beograd,u	beogradu
komšić,a	kom,šić,a
član,ova	članova
njegov,oj	njegovoj
jeremić,u	jere,mić,u
kandidat,a	kandidata
političar,i	političari
stav,a	stava
novinar,ima	novinari,m,a
jeremić,em	jere,mić,e,m
poslednji,m	poslednjim
opšti,m	opštim
izbor,ima	izborima
rezultat,i	rezultati
izbor,a	izbora
član,ovi	članovi
lagumdžijin,a	lag,u,m,dži,jina
potpun,a	potpun,a
stranački,h	strana,čkih
krug,ova	krug,ova
politički,h	političkih
neodgovornost,i	neo,dgovornost,i
fakultet,a	fakulteta
istaknut,i	istaknuti
princip,e	princip,e
njen,o	njeno
čin,a	čina
spoljni,h	spoljnih
pogled,u	pogledu
drugi,m	drugim
član,ovima	članovima
mesec,i	meseci
oktobarski,h	oktobar,skih
birač,e	birač,e
obzir,om	obzirom
njegov,e	njegove
stav,ove	stavove
korak,a	koraka
lider,a	lidera
nov,og	novog
put,em	putem
izazov,a	izazov,a
državni,h	državnih
razvoj,a	razvoja
parlament,u	parlamentu
vrh,u	vrhu
program,a	programa
zastoj,a	zasto,j,a
mnogi,m	mnogim
debata,ma	deb,ata,m,a
nov,im	novim
problem,ima	problemima
cilj,evi	ciljevi
njegov,a	njegova
parlament,om	parlament,o,m
reforma,ma	reforma,m,a
nov,i	novi
put,a	puta
glas,ova	glasova
glas,a	glasa
on,o	ono
vrednost,i	vrednosti
određen,e	određene
napor,e	napor,e
napor,a	napor,a
svoj,e	svoje
moldavski,h	mol,dav,skih
svoj,im	svojim
upravnik,a	upravnik,a
kalarasi,ja	kala,rasi,j,a
rad,a	rada
velik,i	veliki
život,u	životu
uslov,e	uslove
balkan,a	balkana
intervju,u	intervjuu
region,u	regionu
nezavisnost,i	nezavisnosti
rizik,e	rizik,e
svet,u	svetu
čin,om	čino,m
period,om	period,o,m
stvar,i	stvari
međunarodni,h	međunarodnih
mek,oj	mek,o,j
nestabilnost,i	nestabilnost,i
sam,om	samom
nov,e	nove
njen,e	njene
odnos,e	odnose
on,a	ona
naš,ih	naših
interes,a	interesa
beograd,om	beograd,o,m
sused,a	sused,a
samit,u	sami,t,u
bukurešt,u	buku,reš,t,u
sin,a	sina
mirovnjak,e	mirov,njak,e
svet,a	sveta
region,a	regiona
vid,u	vidu
stabilnost,i	stabilnosti
nov,ih	novih
ime,na	imena
princip,u	principu
naš,u	našu
zajednički,m	zajedničkim
interes,om	intereso,m
iskren,a	iskren,a
odlučnost,i	odluč,nosti
cilj,a	cilja
duh,u	duhu
koji,ma	kojima
odustajanje,m	odust,ajanje,m
naš,eg	našeg
identitet,a	identiteta
irak,u	ira,k,u
poduhvat,a	poduhvat,a
vojnik,a	vojnika
vojni,m	vojni,m
misija,ma	misija,m,a
avganistan,u	avg,anist,anu
liban,u	lib,anu
mirovni,m	mirov,nim
operacija,ma	operacija,m,a
aranžman,a	aranžman,a
potpunost,i	potpunosti
odgovornost,i	odgovornosti
štab,u	štab,u
harmonizovan,e	harmoni,zovane
period,u	periodu
put,u	putu
tempo,m	temp,o,m
preduslov,e	preduslov,e
pregovor,a	pregovora
režim,a	režima
ostvarljiv,i	ostvar,ljivi
sopstven,ih	sopstvenih
slabost,i	slabosti
sledeći,h	sledećih
pregovor,ima	pregovori,m,a
kraj,a	kraja
sporazum,a	sporazuma
dijalog,a	dijaloga
slučaj,u	slučaju
vaš,e	vaše
značaj,a	značaja
region,om	region,o,m
nov,a	nova
sukob,ima	sukob,ima
posvećen,i	posvećen,i
isti,m	istim
demokratski,m	demokratski,m
vrednost,ima	vrednostima
amandman,a	aman,dma,na
cilj,em	ciljem
standard,ima	standardima
maj,a	maja
amandman,e	aman,dma,ne
prevrat,a	prev,rata
okvir,u	okviru
sud,ovi	sudovi
predstavnik,a	predstavnika
načelnik,a	načelnik,a
odbor,u	odbor,u
pol,ova	polov,a
pun,u	punu
ustav,a	ustava
jednak,a	jednaka
vlast,i	vlasti
suverenitet,a	suverenitet,a
princip,a	principa
bezbednost,i	bezbednosti
rat,om	rato,m
stanje,m	stanje,m
opasnost,i	opasnosti
niko,me	nikom,e
zakon,i	zakoni
zakon,ima	zakoni,m,a
usvojen,im	usvojen,i,m
slučaj,evima	slučajevima
suprotnost,i	suprotnosti
yok,-a	0,,,1,,,2,y,o,k,-,a
sud,ova	sudova
vojni,h	vojnih
zakon,u	zakonu
poslanik,a	poslanika
paket,u	paket,u
njihov,o	njihovo
k,a	k,a
standard,a	standarda
propis,ima	propisima
džemil,a	dže,mila
čiček,a	äį,iče,k,a
sklad,u	skladu
sistem,om	sistemom
mesec,a	meseca
oblast,i	oblasti
visok,i	visoki
april,a	aprila
izgled,e	izgled,e
razgovor,a	razgovora
hrvatski,m	hrvatski,m
šef,om	šef,o,m
gordan,om	gor,dano,m
