jeremić,a	jer,emi,ća
mogul,u	mogu,lu
medij,a	medija
dokaz,i	dokazi
njegov,im	njegovim
krivični,m	krivični,m
zatvor,a	zatvora
porez,a	poreza
medij,e	medije
novinar,i	novinari
drugi,h	drugih
sud,u	sudu
mart,a	marta
položaj,a	položaja
saučesnik,a	sa,učesnika
kreditor,ima	kredit,orima
medij,ima	medijima
metod,e	metode
zakon,a	zakona
institut,a	instituta
zaposlen,i	zaposleni
naziv,om	nazivom
njen,u	njenu
potpun,u	potpun,u
premijer,a	premijera
aktivnost,i	aktivnosti
kriminal,a	kriminala
zemlja,ma	zemljama
faktor,a	faktora
sposobnost,i	sposobnosti
svedok,a	svedok,a
milion,a	miliona
račun,a	računa
sadržaj,em	sadržajem
svoj,ih	svojih
reč,ima	rečima
internešnal,a	interne,šn,ala
međunarodni,m	međunarodnim
sud,ovima	sudovi,ma
argument,i	argument,i
vezan,e	vezane
govor,a	govora
živ,a	živa
zdrav,a	zdrav,a
svoj,oj	svojoj
novčan,u	novčan,u
sopstven,e	sopstvene
domaći,m	domaći,m
član,a	člana
tročlan,og	tro,člano,g
potpredsednik,a	potpredsednik,a
političar,a	političara
položaj,u	položaju
pun,om	punom
kapacitet,u	kapacitet,u
obaveza,ma	obaveza,ma
sdp,-a	s,d,p,-,a
njegov,og	njegovog
predsednik,om	predsednikom
inostran,ih	inostranih
vuk,a	vuk,a
predsednik,a	predsednika
beograd,u	beogradu
komšić,a	kom,šić,a
član,ova	članova
njegov,oj	njegovoj
jeremić,u	jer,emi,ću
kandidat,a	kandidata
političar,i	političari
stav,a	stava
novinar,ima	novinari,ma
jeremić,em	jer,emi,ćem
poslednji,m	poslednji,m
opšti,m	opšti,m
izbor,ima	izborima
rezultat,i	rezultati
izbor,a	izbora
član,ovi	članovi
lagumdžijin,a	l,agu,m,dži,jina
potpun,a	potpun,a
stranački,h	strana,čkih
krug,ova	krug,ova
politički,h	političkih
neodgovornost,i	neo,dgovornost,i
fakultet,a	fakulteta
istaknut,i	istaknuti
princip,e	princip,e
njen,o	njeno
čin,a	čina
spoljni,h	spoljnih
pogled,u	pogledu
drugi,m	drugim
član,ovima	članovima
mesec,i	meseci
oktobarski,h	oktobar,skih
birač,e	birač,e
obzir,om	obzirom
njegov,e	njegove
stav,ove	stavove
korak,a	koraka
lider,a	lidera
nov,og	novog
put,em	putem
izazov,a	izazov,a
državni,h	državnih
razvoj,a	razvoja
parlament,u	parlament,u
vrh,u	vrhu
program,a	programa
zastoj,a	zasto,ja
mnogi,m	mnogim
debata,ma	deb,atam,a
nov,im	novim
problem,ima	problemima
cilj,evi	ciljevi
njegov,a	njegova
parlament,om	parlament,om
reforma,ma	reform,ama
nov,i	novi
put,a	puta
glas,ova	glasova
glas,a	glasa
on,o	ono
vrednost,i	vrednosti
određen,e	određene
napor,e	napor,e
napor,a	napor,a
svoj,e	svoje
moldavski,h	mol,dav,skih
svoj,im	svojim
upravnik,a	upravnik,a
kalarasi,ja	kal,ara,sija
rad,a	rada
velik,i	veliki
život,u	životu
uslov,e	uslove
balkan,a	balkana
intervju,u	intervjuu
region,u	regionu
nezavisnost,i	nezavisnosti
rizik,e	rizik,e
svet,u	svetu
čin,om	činom
period,om	period,om
stvar,i	stvari
međunarodni,h	međunarodnih
mek,oj	mek,oj
nestabilnost,i	nestabilnost,i
sam,om	samom
nov,e	nove
njen,e	njene
odnos,e	odnose
on,a	ona
naš,ih	naših
interes,a	interesa
beograd,om	beograd,om
sused,a	sused,a
samit,u	sami,tu
bukurešt,u	b,uku,reš,tu
sin,a	sina
mirovnjak,e	mirov,njak,e
svet,a	sveta
region,a	regiona
vid,u	vidu
stabilnost,i	stabilnosti
nov,ih	novih
ime,na	imena
princip,u	principu
naš,u	našu
zajednički,m	zajedničkim
interes,om	intereso,m
iskren,a	iskren,a
odlučnost,i	odluč,nosti
cilj,a	cilja
duh,u	duh,u
koji,ma	kojima
odustajanje,m	odu,stajanj,em
naš,eg	našeg
identitet,a	identiteta
irak,u	i,raku
poduhvat,a	poduhvat,a
vojnik,a	vojnika
vojni,m	vojni,m
misija,ma	misija,ma
avganistan,u	a,v,gani,stanu
liban,u	l,ib,anu
mirovni,m	mirov,nim
operacija,ma	operacija,ma
aranžman,a	aranžman,a
potpunost,i	potpunosti
odgovornost,i	odgovornosti
štab,u	štab,u
harmonizovan,e	harmoni,zovane
period,u	periodu
put,u	putu
tempo,m	temp,om
preduslov,e	preduslov,e
pregovor,a	pregovora
režim,a	režima
ostvarljiv,i	ostvar,ljivi
sopstven,ih	sopstvenih
slabost,i	slabost,i
sledeći,h	sledećih
pregovor,ima	pregovori,ma
kraj,a	kraja
sporazum,a	sporazuma
dijalog,a	dijaloga
slučaj,u	slučaju
vaš,e	vaše
značaj,a	značaja
region,om	region,om
nov,a	nova
sukob,ima	sukob,ima
posvećen,i	posvećen,i
isti,m	istim
demokratski,m	demokratski,m
vrednost,ima	vrednostima
amandman,a	aman,dma,na
cilj,em	ciljem
standard,ima	standardima
maj,a	maja
amandman,e	aman,dma,ne
prevrat,a	prev,rata
okvir,u	okviru
sud,ovi	sudovi
predstavnik,a	predstavnika
načelnik,a	načelnika
odbor,u	odbor,u
pol,ova	polov,a
pun,u	pun,u
ustav,a	ustava
jednak,a	jednaka
vlast,i	vlasti
suverenitet,a	suverenitet,a
princip,a	principa
bezbednost,i	bezbednosti
rat,om	rato,m
stanje,m	stanje,m
opasnost,i	opasnosti
niko,me	nikom,e
zakon,i	zakoni
zakon,ima	zakonima
usvojen,im	usvojen,im
slučaj,evima	slučajevima
suprotnost,i	suprotnosti
yok,-a	y,o,k,-,a
sud,ova	sudova
vojni,h	vojnih
zakon,u	zakonu
poslanik,a	poslanika
paket,u	paket,u
njihov,o	njihovo
k,a	ka
standard,a	standarda
propis,ima	propisima
džemil,a	dže,mila
čiček,a	či,čeka
sklad,u	skladu
sistem,om	sistemom
mesec,a	meseca
oblast,i	oblasti
visok,i	visoki
april,a	aprila
izgled,e	izgled,e
razgovor,a	razgovora
hrvatski,m	hrvatski,m
šef,om	šef,om
gordan,om	gor,dano,m
jandroković,em	jan,dro,ković,em
jun,a	juna
pregovor,e	pregovor,e
jesen,i	jesen,i
