jeremić,a	jere,mića
mogul,u	mogu,lu
medij,a	medija
dokaz,i	dokazi
njegov,im	njegovim
krivični,m	krivičnim
zatvor,a	zatvora
porez,a	poreza
medij,e	medije
novinar,i	novinari
drugi,h	drugih
sud,u	sudu
mart,a	marta
položaj,a	položaja
saučesnik,a	sauče,snika
kreditor,ima	kredi,torima
medij,ima	medijima
metod,e	metode
zakon,a	zakona
institut,a	instituta
zaposlen,i	zaposleni
naziv,om	nazivom
njen,u	njenu
potpun,u	potpunu
premijer,a	premijera
aktivnost,i	aktivnosti
kriminal,a	kriminala
zemlja,ma	zemljama
faktor,a	faktora
sposobnost,i	sposobnosti
svedok,a	svedoka
milion,a	miliona
račun,a	računa
sadržaj,em	sadržajem
svoj,ih	svojih
reč,ima	rečima
internešnal,a	inter,ne,š,nala
međunarodni,m	međunarodnim
sud,ovima	sudovima
argument,i	argu,menti
vezan,e	vezane
govor,a	govora
živ,a	živa
zdrav,a	zdrava
svoj,oj	svojoj
novčan,u	novčanu
sopstven,e	sopstvene
domaći,m	domaćim
član,a	člana
tročlan,og	tro,čla,nog
potpredsednik,a	potpred,sednika
političar,a	političara
položaj,u	položaju
pun,om	punom
kapacitet,u	kapaci,tetu
obaveza,ma	obavezama
sdp,-a	s,dp,-,a
njegov,og	njegovog
predsednik,om	predsednikom
inostran,ih	inostranih
vuk,a	vuka
predsednik,a	predsednika
beograd,u	beogradu
komšić,a	kom,šića
član,ova	članova
njegov,oj	njegovoj
jeremić,u	jere,mi,ću
kandidat,a	kandidata
političar,i	političari
stav,a	stava
novinar,ima	novinarima
jeremić,em	jere,mi,ćem
poslednji,m	poslednjim
opšti,m	opštim
izbor,ima	izborima
rezultat,i	rezultati
izbor,a	izbora
član,ovi	članovi
lagumdžijin,a	la,gu,m,dži,ji,na
potpun,a	potpuna
stranački,h	strana,čkih
krug,ova	krugova
politički,h	političkih
neodgovornost,i	neod,govor,nosti
fakultet,a	fakulteta
istaknut,i	istaknuti
princip,e	principe
njen,o	njeno
čin,a	čina
spoljni,h	spoljnih
pogled,u	pogledu
drugi,m	drugim
član,ovima	članovima
mesec,i	meseci
oktobarski,h	oktobar,skih
birač,e	bira,če
obzir,om	obzirom
njegov,e	njegove
stav,ove	stavove
korak,a	koraka
lider,a	lidera
nov,og	novog
put,em	putem
izazov,a	izazova
državni,h	državnih
razvoj,a	razvoja
parlament,u	parlamentu
vrh,u	vrhu
program,a	programa
zastoj,a	za,stoja
mnogi,m	mnogim
debata,ma	deba,tama
nov,im	novim
problem,ima	problemima
cilj,evi	ciljevi
njegov,a	njegova
parlament,om	parla,mentom
reforma,ma	reformama
nov,i	novi
put,a	puta
glas,ova	glasova
glas,a	glasa
on,o	ono
vrednost,i	vrednosti
određen,e	određene
napor,e	napore
napor,a	napora
svoj,e	svoje
moldavski,h	mol,da,vskih
svoj,im	svojim
upravnik,a	upravnika
kalarasi,ja	kala,ra,sija
rad,a	rada
velik,i	veliki
život,u	životu
uslov,e	uslove
balkan,a	balkana
intervju,u	intervjuu
region,u	regionu
nezavisnost,i	nezavisnosti
rizik,e	rizike
svet,u	svetu
čin,om	či,nom
period,om	perio,dom
stvar,i	stvari
međunarodni,h	međunarodnih
mek,oj	me,koj
nestabilnost,i	nestabilnosti
sam,om	samom
nov,e	nove
njen,e	njene
odnos,e	odnose
on,a	ona
naš,ih	naših
interes,a	interesa
beograd,om	beogra,dom
sused,a	suse,da
samit,u	sami,tu
bukurešt,u	bukure,štu
sin,a	sina
mirovnjak,e	mi,rov,nja,ke
svet,a	sveta
region,a	regiona
vid,u	vidu
stabilnost,i	stabilnosti
nov,ih	novih
ime,na	imena
princip,u	principu
naš,u	našu
zajednički,m	zajedničkim
interes,om	intere,som
iskren,a	iskre,na
odlučnost,i	odlu,čnosti
cilj,a	cilja
duh,u	duhu
koji,ma	kojima
odustajanje,m	odusta,janjem
naš,eg	našeg
identitet,a	identiteta
irak,u	i,raku
poduhvat,a	poduhvata
vojnik,a	vojnika
vojni,m	vojnim
misija,ma	misija,ma
avganistan,u	avganista,nu
liban,u	li,ba,nu
mirovni,m	miro,vnim
operacija,ma	operacijama
aranžman,a	aranžmana
potpunost,i	potpunosti
odgovornost,i	odgovornosti
štab,u	šta,bu
harmonizovan,e	harmoni,zovane
period,u	periodu
put,u	putu
tempo,m	tem,pom
preduslov,e	predu,slo,ve
pregovor,a	pregovora
režim,a	režima
ostvarljiv,i	ostva,r,ljivi
sopstven,ih	sopstvenih
slabost,i	slabosti
sledeći,h	sledećih
pregovor,ima	pregovorima
kraj,a	kraja
sporazum,a	sporazuma
dijalog,a	dijaloga
slučaj,u	slučaju
vaš,e	vaše
značaj,a	značaja
region,om	regio,nom
nov,a	nova
sukob,ima	sukobima
posvećen,i	posve,ćeni
isti,m	istim
demokratski,m	demokra,tskim
vrednost,ima	vrednostima
amandman,a	amand,mana
cilj,em	ciljem
standard,ima	standardima
maj,a	maja
amandman,e	amand,mane
prevrat,a	pre,vrata
okvir,u	okviru
sud,ovi	sudovi
predstavnik,a	predstavnika
načelnik,a	načelnika
odbor,u	odboru
pol,ova	polova
pun,u	punu
ustav,a	ustava
jednak,a	jednaka
vlast,i	vlasti
suverenitet,a	suvereniteta
princip,a	principa
bezbednost,i	bezbednosti
rat,om	ratom
stanje,m	stanjem
opasnost,i	opasnosti
niko,me	nikome
zakon,i	zakoni
zakon,ima	zakonima
usvojen,im	usvoje,nim
slučaj,evima	slučajevima
suprotnost,i	suprotnosti
yok,-a	y,ok,-,a
sud,ova	sudova
vojni,h	vojnih
zakon,u	zakonu
poslanik,a	poslanika
paket,u	paketu
njihov,o	njihovo
k,a	ka
standard,a	standarda
propis,ima	propisima
džemil,a	dže,mila
čiček,a	či,če,ka
sklad,u	skladu
sistem,om	sistemom
mesec,a	meseca
oblast,i	oblasti
visok,i	visoki
april,a	aprila
izgled,e	izgle,de
razgovor,a	razgovora
hrvatski,m	hrvat,skim
šef,om	šef,om
gordan,om	gor,da,nom
jandroković,em	jan,dro,kovićem
jun,a	juna
pregovor,e	pregovore
jesen,i	jeseni
međuvreme,nu	međuvremenu
koji,h	kojih
zagreb,u	zagrebu
razgovor,i	razgovori
jul,a	jula
sve,mu	svemu
